InitShipPos : (120.0, 1728.0, ori=0.0) | ShipDeck : (5, 3) | [Sl{id=0, x=0, y=0}, Sl{id=1, x=0, y=1}, Sl{id=2, x=0, y=2}, Sl{id=3, x=1, y=0}, Sl{id=4, x=1, y=1}, Sl{id=5, x=1, y=2}, Sl{id=6, x=2, y=0}
[Oar(1,0), Oar(2,0), Oar(3,0), Oar(1,2), Oar(2,2), Oar(3,2), Rudder(4,1), Watch(0,1), Sail(2,1)] | [CP{pos=(480.0, 1488.0)}, CP{pos=(800.0, 856.0)}, CP{pos=(120.0, 1488.0)}]
Ship(-363.3, 1820.7, ori=3.4) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.7853981633974483},{Si:5,T:OAR},{Si:8,T:OAR},{Si:1,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-372.5, 1756.7, ori=5.76) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.5231032698415383},{Si:7,T:LIFT_SAIL},{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:8,T:OAR},{Si:4,T:OAR},{Si:1,T:OAR},{Si:
Ship(-192.2, 1708.1, ori=0.0) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:-0.7853981633974483},{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-122.1, 1679.8, ori=-0.79) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.7853981633974483},{Si:5,T:OAR},{Si:8,T:OAR},{Si:1,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-46.8, 1706.5, ori=1.57) | CP{pos=(800.0, 856.0)} [{Si:7,T:LOWER_SAIL},{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:8,T:OAR},{Si:4,T:OAR},{Si:1,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-46.8, 1871.5, ori=1.57) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.7853981633974483},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-62.2, 1891.9, ori=2.88) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.5175155169914545},{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-116.6, 1892.2, ori=3.4) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-169.8, 1878.3, ori=3.4) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-223.0, 1864.4, ori=3.4) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-276.2, 1850.4, ori=3.4) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-329.5, 1836.5, ori=3.4) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.7853981633974483},{Si:5,T:OAR},{Si:8,T:OAR},{Si:1,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-339.0, 1772.6, ori=5.75) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.5296820342050701},{Si:7,T:LIFT_SAIL},{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:8,T:OAR},{Si:4,T:OAR},{Si:1,T:OAR},{Si:
Ship(-159.0, 1723.4, ori=0.0) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:-0.7853981633974483},{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-88.9, 1695.2, ori=-0.79) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.7853981633974483},{Si:5,T:OAR},{Si:8,T:OAR},{Si:1,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-13.6, 1721.8, ori=1.57) | CP{pos=(800.0, 856.0)} [{Si:7,T:LOWER_SAIL},{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:8,T:OAR},{Si:4,T:OAR},{Si:1,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-13.6, 1886.8, ori=1.57) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.7853981633974483},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-29.1, 1907.2, ori=2.88) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.5084297256997008},{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-83.5, 1907.7, ori=3.39) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-136.8, 1894.3, ori=3.39) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-190.1, 1880.9, ori=3.39) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-243.5, 1867.5, ori=3.39) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-296.8, 1854.0, ori=3.39) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-350.1, 1840.6, ori=3.39) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.7853981633974483},{Si:5,T:OAR},{Si:8,T:OAR},{Si:1,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-360.3, 1776.7, ori=5.74) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.5387678254968797},{Si:7,T:LIFT_SAIL},{Si:3,T:OAR},{Si:5,T:OAR},{Si:6,T:OAR},{Si:8,T:OAR},{Si:4,T:OAR},{Si:1,T:OAR},{Si:
Ship(-180.6, 1726.7, ori=6.28) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:-0.7853981633974483},{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-110.5, 1698.5, ori=5.5) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:-0.7853981633974483},{Si:3,T:OAR},{Si:6,T:OAR},{Si:4,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-124.8, 1641.1, ori=3.14) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:-0.7853981633974483},{Si:3,T:OAR},{Si:6,T:OAR},{Si:5,T:OAR},{Si:4,T:OAR},{Si:8,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-211.7, 1709.4, ori=1.83) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.7853981633974483},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-217.2, 1716.1, ori=3.14) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.39429730263955953},{Si:7,T:LOWER_SAIL},{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-270.8, 1705.5, ori=3.54) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-321.5, 1684.4, ori=3.54) | CP{pos=(800.0, 856.0)} [{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-372.3, 1663.3, ori=3.54) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:0.7853981633974483},{Si:5,T:OAR},{Si:8,T:OAR},{Si:1,T:OAR},{Si:0,T:USE_WATCH}]
Ship(-373.0, 1598.6, ori=5.89) | CP{pos=(800.0, 856.0)} [{Si:2,T:TURN,rotation:-0.7853981633974483},{Si:3,T:OAR},{Si:5,T:OAR},{Si:0,T:USE_WATCH}]
